,transformed_x,transformed_y,Cell_Num,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells
196,9946.361664366003,12916.387300335238,8e1e2e07-b76a-40ad-8a81-3529b2cc847d,0,0,0,1,0
197,10074.147111023467,12922.894892526128,d8d40849-77c7-4029-ae77-c49cccfa1a47,0,0,1,0,0
198,10103.529875764149,12926.444488266614,c6f44d40-6f21-417a-81b7-47aa70a6b2d1,0,0,0,1,0
199,9975.350029579964,12931.17728258726,c3e59b46-9bb4-468a-9232-d333e79f4585,0,0,1,0,0
200,10197.199763360284,12938.473673831591,6bef0dc1-2fb3-4956-a90e-0a9c05c8bdba,0,1,0,0,0
201,10149.871820153816,12936.107276671268,a6a04ba9-c60c-4846-9f85-38ad8f380621,0,0,1,0,0
202,10085.584697298362,12948.925261289685,e6cbfe68-7938-493e-bb64-41659afea243,1,0,0,0,0
203,10232.301321238416,12954.446854663775,ddd529df-ec23-4231-85b9-3735d4bc1a23,0,1,0,0,0
204,10160.915006901992,12950.502859396569,38435a01-6e0b-4607-9401-b232e960f8c3,1,0,0,0,0
205,10259.120489055413,12965.68724117531,f05bfcb9-f9e5-4d46-bac3-7ae61ba33743,0,1,0,0,0
206,10205.284953658056,12963.518043778347,5509cb8f-351c-4f3c-8a44-9cab9e4a5665,0,0,1,0,0
207,10169.591796489844,12964.70124235851,d5d274ff-da7a-452e-849b-068dc1bf5865,1,0,0,0,0
208,10072.175113389865,12973.969631236443,1bce4a6f-690f-4bb5-b176-48b60326382d,1,0,0,0,0
209,9943.600867678959,12974.364030763163,a161a647-6994-475a-8070-318a8c267bfa,0,0,0,1,0
210,10096.233484519818,12977.913626503649,978728b1-2d5a-42c4-8f25-1580e5c89887,1,0,0,0,0
211,10287.320055215934,12978.308026030369,9ad0d5bb-e2d1-4b32-b8ac-6f4c03ad5386,0,1,0,0,0
212,10128.574245710905,12974.955630053244,742ff858-3b22-49e9-967c-5ca7e37aa722,1,0,0,0,0
